name,height,weight,reach,stance,dob
Tom Aaron,,155.0,,,"Jul 13, 1978"
Danny Abbadi,180.3,155.0,,Orthodox,"Jul 03, 1983"
Nariman Abbasov,172.7,155.0,66.0,Orthodox,"Feb 01, 1994"
Darion Abbey,188.0,265.0,80.0,Orthodox,"Feb 25, 1993"
David Abbott,182.9,265.0,,Switch,"Apr 26, 1965"
Hamdy Abdelwahab,188.0,265.0,72.0,Southpaw,"Jan 22, 1993"
Mansur Abdul-Malik,188.0,185.0,80.0,Orthodox,"Oct 07, 1997"
Shamil Abdurakhimov,190.5,235.0,76.0,Orthodox,"Sep 02, 1981"
Hiroyuki Abe,167.6,145.0,,Orthodox,"Feb 09, 1970"
Daichi Abe,180.3,170.0,71.0,Orthodox,"Nov 27, 1991"
Papy Abedi,180.3,185.0,,Southpaw,"Jun 30, 1978"
Ricardo Abreu,180.3,185.0,,Orthodox,"Apr 27, 1984"
Klidson Abreu,182.9,205.0,74.0,Orthodox,"Dec 24, 1992"
Cyborg Abreu,,,,,"Dec 20, 1980"
Daniel Acacio,172.7,180.0,,Orthodox,"Dec 27, 1977"
John Adajar,175.3,170.0,75.0,Orthodox,"Jun 22, 1991"
Scott Adams,182.9,225.0,,Southpaw,
Juan Adams,195.6,265.0,80.0,Orthodox,"Jan 16, 1992"
Anthony Adams,185.4,185.0,76.0,Orthodox,"Jan 13, 1988"
Zarrukh Adashev,165.1,125.0,65.0,Southpaw,"Jul 29, 1992"
Israel Adesanya,193.0,185.0,80.0,Switch,"Jul 22, 1989"
Sam Adkins,190.5,225.0,,Orthodox,"Apr 26, 1965"
Mohamed Ado,180.3,170.0,76.0,Switch,"May 03, 2000"
Nick Agallar,172.7,155.0,,Orthodox,"Jan 13, 1979"
Mariya Agapova,167.6,125.0,68.0,Southpaw,"Apr 07, 1997"
Kantharaj Agasa,,135.0,,,"Feb 16, 1992"
Marcelo Aguiar,177.8,170.0,,Orthodox,"Jan 20, 1969"
Fabio Aguiar,182.9,185.0,,,"Feb 10, 1988"
Edwin Aguilar,177.8,185.0,,,"Jan 01, 1972"
Jessica Aguilar,160.0,115.0,63.0,Orthodox,"May 08, 1982"
Kevin Aguilar,170.2,155.0,73.0,Orthodox,"Sep 07, 1988"
Jesus Aguilar,162.6,125.0,62.0,Orthodox,"Mar 13, 1996"
Christian Aguilera,175.3,170.0,72.0,Switch,"Nov 25, 1991"
Nick Aguirre,175.3,135.0,74.0,Southpaw,"Jan 15, 1996"
Agulali,175.3,125.0,67.0,Switch,"Apr 07, 2005"
Ahejiang Ailinuer,,145.0,,,
Mike Aina,175.3,155.0,,Orthodox,"Dec 25, 1980"
Ashiek Ajim,172.7,135.0,71.0,Switch,"Jun 19, 1994"
Hitomi Akano,162.6,135.0,,Southpaw,"Jul 27, 1974"
Omari Akhmedov,182.9,185.0,73.0,Orthodox,"Oct 12, 1987"
Yoshihiro Akiyama,177.8,170.0,75.0,Orthodox,"Jul 29, 1975"
Rostem Akman,177.8,170.0,72.0,Switch,"Dec 19, 1991"
Razak Al-Hassan,188.0,205.0,,Orthodox,"May 14, 1982"
Abdul-Kareem Al-Selwady,172.7,155.0,69.0,Orthodox,"Apr 10, 1995"
Mostapha Al-Turk,188.0,245.0,77.0,Orthodox,"Jul 14, 1973"
Herdem Alacabek,188.0,205.0,75.0,Orthodox,"Jun 07, 1991"
Javi Alanis,167.6,135.0,,,
Alatengheili,165.1,135.0,66.0,Orthodox,"Dec 14, 1991"
Amir Albazi,165.1,125.0,68.0,Orthodox,"Oct 27, 1993"
Brett Albee,,225.0,,,
John Albert,172.7,135.0,68.0,Orthodox,"Oct 13, 1986"
Junior Albini,190.5,264.0,74.0,Orthodox,"Mar 15, 1991"
Wes Albritton,177.8,188.0,,Orthodox,
Aleksandra Albu,157.5,115.0,63.0,Orthodox,"Jul 14, 1990"
